Localidad_fic,cluster,cases,n,prevalence,ci_low,ci_high
Antonio Nariño,0,548.0,766,0.7154046997389034,0.6824376799957942,0.7462220085919326
Antonio Nariño,1,281.0,328,0.8567073170731707,0.8146551549627219,0.8905008578862892
Antonio Nariño,2,0.0,0,,,
Antonio Nariño,3,376.0,494,0.7611336032388664,0.721609412639206,0.796627860349589
Barrios Unidos,0,1124.0,1232,0.9123376623376623,0.8952368820236566,0.9268750424051625
Barrios Unidos,1,193.0,250,0.772,0.7161087831505828,0.8196587019238954
Barrios Unidos,2,0.0,0,,,
Barrios Unidos,3,381.0,416,0.9158653846153846,0.8852363569728848,0.9388842550597863
Bosa,0,2260.0,2828,0.7991513437057991,0.7839841641346631,0.813506911762158
Bosa,1,741.0,854,0.8676814988290398,0.8433009407425893,0.8887690630356546
Bosa,2,0.0,0,,,
Bosa,3,784.0,1011,0.7754698318496538,0.7487333967541165,0.8001208061942602
Candelaria,0,153.0,232,0.6594827586206896,0.5963496387438272,0.7174204692347739
Candelaria,1,21.0,26,0.8076923076923077,0.62123742880683,0.9149293885105759
Candelaria,2,0.0,0,,,
Candelaria,3,29.0,34,0.8529411764705882,0.6987194350454783,0.9355055855521753
Chapinero,0,48.0,49,0.9795918367346939,0.8930647847660836,0.9963883274101747
Chapinero,2,0.0,0,,,
Chapinero,3,23.0,28,0.8214285714285714,0.6440857521065705,0.9212149805439572
Ciudad Bolívar,0,2822.0,3801,0.742436200999737,0.7282944922030052,0.7560883710375661
Ciudad Bolívar,1,830.0,1037,0.8003857280617165,0.7749688530240835,0.8235853213127828
Ciudad Bolívar,2,0.0,0,,,
Ciudad Bolívar,3,1115.0,1306,0.8537519142419602,0.8335504054476411,0.8718784796877527
Engativá,0,1321.0,1427,0.9257182901191311,0.9109400681172327,0.9382106134693972
Engativá,1,648.0,762,0.8503937007874016,0.8233132991323812,0.8739589546083569
Engativá,2,0.0,0,,,
Engativá,3,684.0,773,0.8848641655886158,0.8604351818189865,0.9054868647505369
Fontibón,0,260.0,299,0.8695652173913043,0.8266583302531351,0.9030964426257305
Fontibón,1,205.0,236,0.8686440677966102,0.8195842266744001,0.905895016387087
Fontibón,2,0.0,0,,,
Fontibón,3,365.0,423,0.8628841607565012,0.8268239422685366,0.8924126587125394
Kennedy,0,2252.0,2812,0.8008534850640113,0.785686837529846,0.8151992651659457
Kennedy,1,636.0,761,0.835742444152431,0.8077440897235059,0.8603682283350743
Kennedy,2,0.0,0,,,
Kennedy,3,709.0,864,0.8206018518518519,0.7936161104699858,0.8447493356252355
Los Mártires,0,1192.0,1631,0.7308399754751687,0.7087913017095808,0.7518038195709762
Los Mártires,1,308.0,388,0.7938144329896907,0.750773276183082,0.8310947086039294
Los Mártires,2,0.0,0,,,
Los Mártires,3,468.0,542,0.8634686346863468,0.8319931976867537,0.8898281180690119
Puente Aranda,0,179.0,227,0.788546255506608,0.730850163611856,0.8366388856657009
Puente Aranda,1,250.0,324,0.7716049382716049,0.7228691650376823,0.8139756886702786
Puente Aranda,2,0.0,0,,,
Puente Aranda,3,375.0,458,0.8187772925764192,0.7808948545960287,0.8513567426200764
Rafael Uribe Uribe,0,944.0,1469,0.6426140231449966,0.6177647249272068,0.6667193907871171
Rafael Uribe Uribe,1,539.0,576,0.9357638888888888,0.9127135380114081,0.9530403544767015
Rafael Uribe Uribe,2,0.0,0,,,
Rafael Uribe Uribe,3,466.0,562,0.8291814946619217,0.7958569079026252,0.8580365002812509
San Cristóbal,0,904.0,1355,0.6671586715867158,0.6416265131771294,0.6917457114186286
San Cristóbal,1,532.0,546,0.9743589743589743,0.9574239128713875,0.9846658326181794
San Cristóbal,2,0.0,0,,,
San Cristóbal,3,514.0,593,0.866779089376054,0.83705428327779,0.8917824849646868
Santa fe,0,1074.0,1384,0.7760115606936416,0.7532999122882462,0.7971952434402778
Santa fe,1,258.0,341,0.7565982404692082,0.7083564969548495,0.7991230868471495
Santa fe,2,0.0,0,,,
Santa fe,3,460.0,528,0.8712121212121212,0.8399369248675593,0.8971248319748298
Suba,0,1827.0,1997,0.9148723084626941,0.9018218152226766,0.9263297570546413
Suba,1,748.0,787,0.9504447268106735,0.9329737174643082,0.9635397266554064
Suba,2,0.0,0,,,
Suba,3,843.0,871,0.9678530424799081,0.9539310399581712,0.9776663275221472
Sumapaz,1,0.0,0,,,
Teusaquillo,0,132.0,150,0.88,0.818291645158672,0.9227309691215898
Teusaquillo,1,2.0,2,1.0,0.342380227506653,1.0
Teusaquillo,2,0.0,0,,,
Teusaquillo,3,22.0,25,0.88,0.7004420607907267,0.9583318284955964
Tunjuelito,0,612.0,742,0.8247978436657682,0.7957922258543011,0.8504577168106273
Tunjuelito,1,268.0,338,0.7928994082840237,0.7465248745821561,0.8326910013477932
Tunjuelito,2,0.0,0,,,
Tunjuelito,3,490.0,561,0.8734402852049911,0.8433643164823437,0.8984367561138682
Usaquén,0,722.0,831,0.8688327316486161,0.8441732235756375,0.8900979287769663
Usaquén,1,311.0,375,0.8293333333333334,0.7879627769036331,0.8640249985866552
Usaquén,2,0.0,0,,,
Usaquén,3,413.0,455,0.9076923076923077,0.8775747344080423,0.9309834132221596
Usme,0,1394.0,1463,0.9528366370471634,0.9407376311002452,0.9625638075332582
Usme,1,736.0,840,0.8761904761904762,0.8521894837470558,0.8967663697414041
Usme,2,0.0,0,,,
Usme,3,836.0,887,0.9425028184892897,0.9251893844939933,0.9559999587132613
