column,dtype,non_null,nulls,null_pct,n_unique
row_id,int64,35722,0,0.0,35722
id_fic,int64,35722,0,0.0,35722
base_origen,object,35722,0,0.0,4
ficha_fic,int64,35722,0,0.0,35722
fecha_intervencion,datetime64[ns],35722,0,0.0,965
localidad,object,35722,0,0.0,20
red_fic,object,35722,0,0.0,4
usuario,object,35722,0,0.0,310
tipo_intervencion,object,35722,0,0.0,5
nacionalidad,object,35722,0,0.0,14
sexo,object,35722,0,0.0,3
genero,object,28763,6959,19.48,3
estado_civil,object,35722,0,0.0,4
fecha_de_nacimiento,datetime64[ns],35720,2,0.01,5678
edad,float64,35722,0,0.0,13
curso_de_vida,object,35722,0,0.0,6
etnia,object,35722,0,0.0,5
poblacion_diferencial_y_de_inclusion,object,35722,0,0.0,13
ocupacion,object,28587,7135,19.97,12
categorias_de_la_discapacidad,object,35722,0,0.0,7
vinculo_con_el_jefe_de_hogar,object,28731,6991,19.57,14
zona,object,29197,6525,18.27,2
localidad,object,35722,0,0.0,20
upz,object,35722,0,0.0,115
barrio,object,29185,6537,18.3,2443
barrio_priorizado,object,22239,13483,37.74,4
manzana_del_cuidado,object,22238,13484,37.75,4
estrato,object,22239,13483,37.74,6
afiliacion_al_sgsss_1,object,35722,0,0.0,5
estrato_socioeconomico,object,35520,202,0.57,6
zona_1,object,30465,5257,14.72,2
localidad_1,object,30462,5260,14.72,20
upz_upr_1,float64,29772,5950,16.66,108
barrio_1,object,30452,5270,14.75,2170
barrio_priorizado_1,object,19429,16293,45.61,4
manzana_del_cuidado_1,object,19429,16293,45.61,4
en_donde_realiza_principalmente_su_trabajo,object,25947,9775,27.36,7
fecha_seguimiento,object,8072,27650,77.4,282
intervencion_de_nino_nina_o_adolescente_que_termina_el_proceso,object,17805,17917,50.16,4
fecha_seguimiento_cierre,datetime64[ns],35684,38,0.11,824
nna_desvinculado_de_la_actividad_laboral,object,26328,9394,26.3,5
adolescente_trabajo_protegido,object,9763,25959,72.67,3
fecha_reposicion_de_psicologo_o_trabajador_social_posterior_al_seguimiento_cierre,datetime64[ns],20590,15132,42.36,178
nna_desvinculado_de_la_actividad_laboral_1,object,6640,29082,81.41,3
adolescente_trabajo_protegido_1,object,7284,28438,79.61,3
periodo,object,35722,0,0.0,39
